imdbID,title
tt3896198,Guardians of the Galaxy Vol. 2
tt0118799,Life Is Beautiful
tt0478970,Ant-Man
tt2802144,Kingsman: The Secret Service
tt0107048,Groundhog Day
tt2562232,Birdman or (The Unexpected Virtue of Ignorance)
tt1637725,Ted
tt3783958,La La Land
tt5463162,Deadpool 2
tt0099785,Home Alone
tt0240772,Ocean's Eleven
tt1250777,Kick-Ass
tt1232829,21 Jump Street
tt2872718,Nightcrawler
tt3890160,Baby Driver
tt0181689,Minority Report
tt0443706,Zodiac
tt1542344,127 Hours
tt0964517,The Fighter
tt0338751,The Aviator
tt0081398,Raging Bull
tt0363163,Downfall
tt0395169,Hotel Rwanda
tt0878804,The Blind Side
tt0119008,Donnie Brasco
tt1152836,Public Enemies
tt0103639,Aladdin
tt1217209,Brave
tt0351283,Madagascar
tt0347149,Howl's Moving Castle
tt1690953,Despicable Me 2
tt0119698,Princess Mononoke
tt1453405,Monsters University
tt1490017,The Lego Movie
tt0096283,My Neighbor Totoro
tt0107688,The Nightmare Before Christmas
tt3521164,Moana
tt0829482,Superbad
tt1156398,Zombieland
tt0119654,Men in Black
tt0365748,Shaun of the Dead
tt0071853,Monty Python and the Holy Grail
tt0096874,Back to the Future Part II
tt1570728,"Crazy, Stupid, Love."
tt0056172,Lawrence of Arabia
tt1091191,Lone Survivor
tt1028532,Hachi: A Dog's Tale
tt1485796,The Greatest Showman
tt3263904,Sully
tt7349662,BlacKkKlansman
tt0221027,Blow
tt0443272,Lincoln
tt0072890,Dog Day Afternoon
tt0824747,Changeling
tt0358273,Walk the Line
tt1646971,How to Train Your Dragon 2
tt2948372,Soul
tt0462538,The Simpsons Movie
tt0413267,Shrek the Third
tt3606756,Incredibles 2
tt0120623,A Bug's Life
tt0120762,Mulan
tt1302011,Kung Fu Panda 2
tt0095327,Grave of the Fireflies
tt2277860,Finding Dory
tt5311514,Your Name.
tt0438097,Ice Age: The Meltdown
tt0295297,Harry Potter and the Chamber of Secrets
tt0304141,Harry Potter and the Prisoner of Azkaban
tt0330373,Harry Potter and the Goblet of Fire
tt0373889,Harry Potter and the Order of the Phoenix
tt0926084,Harry Potter and the Deathly Hallows: Part 1
tt0417741,Harry Potter and the Half-Blood Prince
tt0367594,Charlie and the Chocolate Factory
tt3183660,Fantastic Beasts and Where to Find Them
tt0038650,It's a Wonderful Life
tt0093779,The Princess Bride
tt0043014,Sunset Blvd.
tt0032138,The Wizard of Oz
tt1130884,Shutter Island
tt5013056,Dunkirk
tt0078748,Alien
tt1211837,Doctor Strange
tt1014759,Alice in Wonderland
tt0083866,E.T. the Extra-Terrestrial
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
tt1587310,Maleficent
tt0041959,The Third Man
tt0033870,The Maltese Falcon
tt0036775,Double Indemnity
tt0032976,Rebecca
tt0044079,Strangers on a Train
tt0052311,Touch of Evil
tt0038787,Notorious
tt0049406,The Killing
tt0048424,The Night of the Hunter
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street
tt1707386,Les Misérables
tt2771200,Beauty and the Beast
tt0203009,Moulin Rouge!
tt0077631,Grease
tt0121164,Corpse Bride
tt6139732,Aladdin
tt0097757,The Little Mermaid
tt0795421,Mamma Mia!
tt6105098,The Lion King
tt0209144,Memento
tt0246578,Donnie Darko
tt2543164,Arrival
tt0054215,Psycho
tt0078788,Apocalypse Now
tt0988045,Sherlock Holmes
tt0440963,The Bourne Ultimatum
tt5052448,Get Out
tt0114746,12 Monkeys
tt0265086,Black Hawk Down
tt0213149,Pearl Harbor
tt3682448,Bridge of Spies
tt1790885,Zero Dark Thirty
tt0112384,Apollo 13
tt0320661,Kingdom of Heaven
tt0187393,The Patriot
tt0955308,Robin Hood
tt0816711,World War Z
tt1396484,It
tt6644200,A Quiet Place
tt1457767,The Conjuring
tt4972582,Split
tt0084787,The Thing
tt0387564,Saw
tt0093773,Predator
tt1259521,The Cabin in the Woods
tt0289043,28 Days Later
tt0383574,Pirates of the Caribbean: Dead Man's Chest
tt0121765,Star Wars: Episode II - Attack of the Clones
tt1981115,Thor: The Dark World
tt1386697,Suicide Squad
tt0457430,Pan's Labyrinth
tt1170358,The Hobbit: The Desolation of Smaug
tt0451279,Wonder Woman
tt0421715,The Curious Case of Benjamin Button
tt0449088,Pirates of the Caribbean: At World's End
tt2527336,Star Wars: Episode VIII - The Last Jedi
tt1798709,Her
tt0038355,The Big Sleep
tt0036342,Shadow of a Doubt
tt0038109,Spellbound
tt0037008,Laura
tt0040506,Key Largo
tt0034248,Suspicion
tt0039689,Out of the Past
tt0045152,Singin' in the Rain
tt0059742,The Sound of Music
tt0119282,Hercules
tt1436562,Rio
tt0299658,Chicago
tt0338348,The Polar Express
tt0461770,Enchanted
tt0158983,"South Park: Bigger, Longer & Uncut"
tt0067992,Willy Wonka & the Chocolate Factory
tt0029583,Snow White and the Seven Dwarfs
tt0080455,The Blues Brothers
tt0073195,Jaws
tt1446714,Prometheus
tt1856101,Blade Runner 2049
tt0364569,Oldboy
tt0409459,Watchmen
tt0258463,The Bourne Identity
tt0343818,"I, Robot"
tt0945513,Source Code
tt0425112,Hot Fuzz
tt0478087,21
tt0985699,Valkyrie
tt0057115,The Great Escape
tt4846340,Hidden Figures
tt0083987,Gandhi
tt0408306,Munich
tt1649419,The Impossible
tt0138097,Shakespeare in Love
tt0070047,The Exorcist
tt1060277,Cloverfield
tt0230600,The Others
tt0162661,Sleepy Hollow
tt0117571,Scream
tt0298130,The Ring
tt2737304,Bird Box
tt0360486,Constantine
tt8772262,Midsommar
tt7784604,Hereditary
tt1179933,10 Cloverfield Lane
tt0454876,Life of Pi
tt2310332,The Hobbit: The Battle of the Five Armies
tt1298650,Pirates of the Caribbean: On Stranger Tides
tt0162222,Cast Away
tt0332280,The Notebook
tt0034583,Casablanca
tt1343092,The Great Gatsby
tt1022603,500 Days of Summer
tt0314331,Love Actually
tt0099487,Edward Scissorhands
tt0362227,The Terminal
tt1099212,Twilight
tt0405422,The 40-Year-Old Virgin
tt0037884,The Lost Weekend
tt0043338,Ace in the Hole
tt0037382,To Have and Have Not
tt0042041,White Heat
tt0051036,Sweet Smell of Success
tt0038559,Gilda
tt0042593,In a Lonely Place
tt0040525,The Lady from Shanghai
tt0051207,The Wrong Man
tt0023427,Scarface
tt0042208,The Asphalt Jungle
tt0045555,The Big Heat
tt0038991,The Stranger
tt0114148,Pocahontas
tt0366548,Happy Feet
tt0061852,The Jungle Book
tt4520988,Frozen II
tt3470600,Sing
tt0058331,Mary Poppins
tt0042332,Cinderella
tt0116583,The Hunchback of Notre Dame
tt0073629,The Rocky Horror Picture Show
tt0047396,Rear Window
tt1790864,The Maze Runner
tt1568346,The Girl with the Dragon Tattoo
tt0372183,The Bourne Supremacy
tt1840309,Divergent
tt0327056,Mystic River
tt1220719,Ip Man
tt1398426,Straight Outta Compton
tt5083738,The Favourite
tt1213641,First Man
tt0120863,The Thin Red Line
tt0455590,The Last King of Scotland
tt0443680,The Assassination of Jesse James by the Coward Robert Ford
tt1070874,The Trial of the Chicago 7
tt2798920,Annihilation
tt0167190,Hellboy
tt0110148,Interview with the Vampire: The Vampire Chronicles
tt0116367,From Dusk Till Dawn
tt0884328,The Mist
tt1591095,Insidious
tt6857112,Us
tt0103644,Alien³
tt2316204,Alien: Covenant
tt0077651,Halloween
tt4160708,Don't Breathe
tt0319061,Big Fish
tt0446029,Scott Pilgrim vs. the World
tt1605783,Midnight in Paris
tt0360717,King Kong
tt5580390,The Shape of Water
tt1355644,Passengers
tt0052357,Vertigo
tt1282140,Easy A
tt1517451,A Star Is Born
tt2582846,The Fault in Our Stars
tt0443543,The Illusionist
tt1632708,Friends with Benefits
tt0037913,Mildred Pierce
tt0048254,Killer's Kiss
tt0038669,The Killers
tt0029870,Angels with Dirty Faces
tt0038854,The Postman Always Rings Twice
tt0048261,Kiss Me Deadly
tt0039302,Dark Passage
tt0046126,Niagara
tt0037638,Detour
tt0033717,High Sierra
tt6412452,The Ballad of Buster Scruggs
tt0053285,Sleeping Beauty
tt0780521,The Princess and the Frog
tt0032910,Pinocchio
tt0043274,Alice in Wonderland
tt0046183,Peter Pan
tt2180411,Into the Woods
tt1013753,Milk
tt1860357,Deepwater Horizon
tt0346491,Alexander
tt0349683,King Arthur
tt0498380,Letters from Iwo Jima
tt1057500,Invictus
tt0102138,JFK
tt1568911,War Horse
tt6294822,The Post
tt0108358,Tombstone
tt1034303,Defiance
tt4172430,13 Hours
tt0120611,Blade
tt0463854,28 Weeks Later
tt0450385,1408
tt3065204,The Conjuring 2
tt7349950,It Chapter Two
tt0120804,Resident Evil
tt0411477,Hellboy II: The Golden Army
tt0478311,Knocked Up
tt1068680,Yes Man
tt0388795,Brokeback Mountain
tt0343660,50 First Dates
tt0396269,Wedding Crashers
tt2194499,About Time
tt0041699,Stray Dog
tt0038057,Scarlet Street
tt0037469,The Woman in the Window
tt0041113,All the King's Men
tt0046187,Pickup on South Street
tt0042994,Stage Fright
tt0031867,The Roaring Twenties
tt0040636,The Naked City
tt0042788,Night and the City
tt0037101,"Murder, My Sweet"
tt1454468,Gravity
tt0090605,Aliens
tt1877832,X-Men: Days of Future Past
tt6751668,Parasite
tt0405159,Million Dollar Baby
tt0093058,Full Metal Jacket
tt0099088,Back to the Future Part III
tt0947798,Black Swan
tt1074638,Skyfall
tt1136608,District 9
tt1951264,The Hunger Games: Catching Fire
tt0381061,Casino Royale
tt0075148,Rocky
tt1291584,Warrior
tt0433035,Real Steel
tt1125849,The Wrestler
tt3076658,Creed
tt0116695,Jerry Maguire
tt0364725,Dodgeball: A True Underdog Story
tt1798684,Southpaw
tt0116483,Happy Gilmore
tt0087538,The Karate Kid
tt8579674,1917
tt2713180,Fury
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
tt0887912,The Hurt Locker
tt0942385,Tropic Thunder
tt0091763,Platoon
tt2584384,Jojo Rabbit
tt0077416,The Deer Hunter
tt0105695,Unforgiven
tt1403865,True Grit
tt0064116,Once Upon a Time in the West
tt0381849,3:10 to Yuma
tt1192628,Rango
tt0099348,Dances with Wolves
tt0059578,For a Few Dollars More
tt5362988,Wind River
tt1210819,The Lone Ranger
tt2582782,Hell or High Water
tt5580036,"I, Tonya"
tt0479143,Rocky Balboa
tt0210945,Remember the Titans
tt0079817,Rocky II
tt0089927,Rocky IV
tt0974661,17 Again
tt0117705,Space Jam
tt0084602,Rocky III
tt1216475,Cars 2
tt5074352,Dangal
tt1155076,The Karate Kid
tt0352248,Cinderella Man
tt0415306,Talladega Nights: The Ballad of Ricky Bobby
tt0031381,Gone with the Wind
tt0783233,Atonement
tt0215750,Enemy at the Gates
tt0082096,Das Boot
tt2005151,War Dogs
tt0914798,The Boy in the Striped Pajamas
tt0032553,The Great Dictator
tt0311113,Master and Commander: The Far Side of the World
tt0050212,The Bridge on the River Kwai
tt0409847,Cowboys & Aliens
tt0058461,A Fistful of Dollars
tt0064115,Butch Cassidy and the Sundance Kid
tt2404435,The Magnificent Seven
tt2557490,A Million Ways to Die in the West
tt0112851,Desperado
tt0120746,The Mask of Zorro
tt0110322,Legends of the Fall
tt0120891,Wild Wild West
tt0398165,The Longest Yard
tt4209788,Molly's Game
tt1809398,Unbroken
tt0445934,Blades of Glory
tt0120484,The Waterboy
tt0454945,She's the Man
tt0393162,Coach Carter
tt0385002,Green Street Hooligans
tt1100089,Foxcatcher
tt0100507,Rocky V
tt6343314,Creed II
tt4555426,Darkest Hour
tt0050825,Paths of Glory
tt0071230,Blazing Saddles
tt1549920,The Last Stand
tt1648190,The Dark Tower
tt0184894,Shanghai Noon
tt0040897,The Treasure of the Sierra Madre
tt0455824,Australia
tt0110478,Maverick
tt0015864,The Gold Rush
tt2494362,Bone Tomahawk
tt0044706,High Noon
tt0146838,Any Given Sunday
tt0097351,Field of Dreams
tt0080487,Caddyshack
tt0169102,Lagaan: Once Upon a Time in India
tt0112461,The Basketball Diaries
tt0386140,The Legend of Zorro
tt0395584,The Devil's Rejects
tt0112817,Dead Man
tt0114214,The Quick and the Dead
tt0054047,The Magnificent Seven
tt0049730,The Searchers
tt0327437,Around the World in 80 Days
tt6878306,News of the World
tt5478478,Hostiles
tt0065214,The Wild Bunch
tt2726560,The Longest Ride
tt0317648,Hidalgo
